is_ACRES_town,most_common_town,n,mean_flood_percent,mean_storm_percent,mean_heat_percent,mean_air_pollution_percent,mean_indoor_air_quality_percent,mean_chemical_hazards_percent,mean_extreme_precipitation_percent,mean_fire_percent,mean_workshop_percent,mean_mapping_percent,mean_survey_percent,mean_conversation_percent,mean_community_meeting_percent,mean_small_group_discussion_percent,mean_inform_percent
FALSE,boston,55,41.8926909090909,28.7606545454545,9.56805454545455,12.525,2.87707272727273,0.804745454545455,3.10969090909091,0.462036363636364,15.0704363636364,0,54.3389636363636,8.58458181818182,19.5263272727273,0.552345454545455,0.109181818181818
FALSE,brookline,2,51.724,24.864,14.338,3.811,1.815,0,3.085,0.363,8,0,22,0,70,0,0
FALSE,lynn,3,52.7963333333333,34.3693333333333,2.46133333333333,4.516,1.29133333333333,1.44466666666667,2.44833333333333,0.672666666666667,39.796,0.226666666666667,38.326,0.226666666666667,17.5696666666667,3.628,0.226666666666667
FALSE,milton,2,59.377,14.815,3.7035,9.091,0.3705,2.2725,9.6295,0.7405,52.793,0,4.685,21.712,13.3785,6.081,1.3515
FALSE,needham,2,32.724,37.4695,7.363,5.1545,0,6.245,8.099,2.945,42.5825,0,14.8355,0,39.639,2.9435,0
FALSE,newton,2,48.3865,31.196,12.8075,1.845,1.4695,0,4.1115,0.1845,44.153,0,17.6915,0,33.4175,4.738,0
FALSE,quincy,5,59.0748,31.3606,1.4434,1.1006,0.1572,0.0944,5.974,0.795,59.756,0,16.4826,0.6944,17.4464,5.6208,0
FALSE,saugus,2,52.0695,25.963,6.8985,5.8605,2,1.1335,4.8985,1.1765,23.1995,0,30.314,9.5855,30.4985,4.009,2.393
FALSE,waltham,2,37.304,44.906,1.567,0.313,0.078,0.235,10.972,4.624,56.122,0,9.184,1.02,25.51,7.143,1.02
TRUE,arlington,2,49.031,35.3685,4.9905,0,0,0.5815,10.029,0,51.4105,0,34.872,0,13.718,0,0
TRUE,belmont,1,32,56,0,0,8,0,4,0,0,0,62.5,0,37.5,0,0
TRUE,burlington,2,46.269,18.657,14.179,2.239,0,0,14.179,4.478,46.575,0,0,0,50.685,2.74,0
TRUE,cambridge,14,60.613,26.4079285714286,5.427,2.67642857142857,0.470285714285714,0.6065,3.50307142857143,0.2955,9.647,0,58.0481428571429,2.22678571428571,22.907,0.0281428571428572,0
TRUE,chelsea,10,47.088,31.0905,6.4093,9.8638,1.5984,0.6254,2.899,0.4257,19.0866,0,48.4123,1.3137,28.5975,0.2888,2.301
TRUE,everett,5,36.8846,31.945,22.9568,1.7012,0.181,1.7072,3.6278,0.9956,40.5618,0,28.2782,3.3332,21.9006,1.8518,4.074
TRUE,lexington,2,34.025,49.378,2.075,0,0,3.734,7.884,2.905,70.588,0.98,8.824,0,14.706,4.902,0
TRUE,malden,2,49.2945,25.1995,8.5115,7.484,1.445,0.289,6.555,1.221,54.8855,0,10.572,9.7825,19.2335,5.5265,0
TRUE,medford,4,37.6675,34.4455,7.37075,0.61875,1.9085,0.19075,16.7405,1.05775,18.29275,3.99725,35.516,0,14.7985,0.60975,1.78575
TRUE,melrose,2,36.883,41.998,7.2535,3.1225,0.6745,0.0905,7.3715,2.607,63.338,2.1905,9.36,0,17.1275,7.7695,0.2145
TRUE,reading,2,32.093,47.198,4.048,0.912,0.0885,0.4605,10.593,4.607,27.569,0,29.362,0,32.36,7.6925,3.017
TRUE,revere,7,53.0982857142857,28.8751428571429,6.07585714285714,2.12257142857143,0.210142857142857,1.33128571428571,6.67285714285714,1.61385714285714,49.5588571428571,0,24.841,0,18.9072857142857,5.59371428571429,1.09885714285714
TRUE,somerville,9,23.4835555555556,26.2708888888889,8.19044444444445,35.2172222222222,2.61522222222222,0.889888888888889,2.67866666666667,0.654,14.7034444444444,0,41.0572222222222,8.57433333333333,35.2741111111111,0.0365555555555556,0.354444444444444
TRUE,wakefield,2,30.9315,36.3395,11.5405,1.959,0.98,1.8115,15.714,0.7245,49.491,0,31.126,4.4425,9.6775,5.263,0
TRUE,watertown,3,20.3836666666667,35.422,27.7296666666667,1.07533333333333,1.08533333333333,0.529,12.8906666666667,0.884666666666667,22.8276666666667,0,58.8243333333333,5.14266666666667,9.09566666666667,4.10966666666667,0
TRUE,wilmington,1,39.799,38.127,4.013,1.672,0,0.669,12.709,3.01,81.879,0,0,0.671,14.094,3.356,0
TRUE,winchester,1,38.596,34.211,6.725,2.339,0,0.292,14.912,2.924,53.636,0,3.636,0.909,27.273,14.545,0
TRUE,winthrop,1,69.043,24.847,0.068,0,0,0.204,5.703,0.136,22.727,0,59.091,0,18.182,0,0
TRUE,woburn,3,38.0696666666667,41.8483333333333,4.77666666666667,0.766,0.124333333333333,0,10.6466666666667,3.76833333333333,54.237,0.611333333333333,12.7803333333333,0.611333333333333,29.313,2.44666666666667,0
